"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18006","Error message verification: ""password not provided"" -Es ","Spanish","Fri Dec 19 12:14:18 IST 2025","passed","Fri Dec 19 12:14:36 IST 2025","Login","","",""
"","113386","Second Conversation for the First Encounter -Es","Spanish","Fri Dec 19 12:26:18 IST 2025","passed","Fri Dec 19 12:28:12 IST 2025","First Encounter E2E Flow -Es","","",""
"","122819","SOAP Note Verification for the Second Conversation in First Encounter","English","Fri Dec 19 11:21:42 IST 2025","passed","Fri Dec 19 11:23:44 IST 2025","First Encounter E2E flow","","",""
"","14857","Finalize encounter -Es","Spanish","Fri Dec 19 12:48:00 IST 2025","passed","Fri Dec 19 12:48:15 IST 2025","First Encounter E2E Flow -Es","","",""
"","17137","New Encounter Creation","English","Fri Dec 19 11:33:50 IST 2025","passed","Fri Dec 19 11:34:07 IST 2025","New Encounter E2E Flow","","",""
"","16548","Login with correct credentials & verify Home screen","English","Fri Dec 19 11:08:33 IST 2025","passed","Fri Dec 19 11:08:49 IST 2025","Login","","",""
"","10186","Error message verification: ""Invalid Email""","English","Fri Dec 19 11:06:46 IST 2025","passed","Fri Dec 19 11:06:56 IST 2025","Forgot Password","","",""
"the thrusg=h hold we got less then 85% check over it","15745","Transcript Verification for the Draft Conversation","English","Fri Dec 19 11:54:24 IST 2025","passed","Fri Dec 19 11:54:40 IST 2025","New Encounter E2E Flow","","",""
"","9840","Logout -Es","Spanish","Fri Dec 19 13:26:49 IST 2025","passed","Fri Dec 19 13:26:59 IST 2025","New Encounter E2E flow -Es","","",""
"","18082","Patient Info Update","English","Fri Dec 19 12:03:11 IST 2025","broken","Fri Dec 19 12:03:29 IST 2025","New Encounter E2E Flow","","",""
"","5772","Forgot PassWord UI verification -Es","Spanish","Fri Dec 19 12:06:15 IST 2025","passed","Fri Dec 19 12:06:21 IST 2025","Forgot Password","","",""
"","13615","Verify  launguag change option","English","Fri Dec 19 11:08:59 IST 2025","passed","Fri Dec 19 11:09:12 IST 2025","Settings screen","","",""
"","12184","Verify Error message when mail is not Entered -Es","Spanish","Fri Dec 19 12:06:45 IST 2025","passed","Fri Dec 19 12:06:58 IST 2025","Forgot Password","","",""
"","8751","Error message verifcation: ""invalid Email"" -Es","Spanish","Fri Dec 19 12:14:59 IST 2025","passed","Fri Dec 19 12:15:08 IST 2025","Login","","",""
"","5285","Login UI element Verification -Es","Spanish","Fri Dec 19 12:14:12 IST 2025","passed","Fri Dec 19 12:14:18 IST 2025","Login","","",""
"","126786","HayNoki verification","English","Fri Dec 19 12:03:29 IST 2025","passed","Fri Dec 19 12:05:36 IST 2025","New Encounter E2E Flow","","",""
"","15145","Error message verification: ""short password"" -Es","Spanish","Fri Dec 19 12:14:36 IST 2025","passed","Fri Dec 19 12:14:51 IST 2025","Login","","",""
"","0","Verify Settings screen Profille Edit #Skipped:-proffile edit is skipped due to Known Issue, related to Api change","","Fri Dec 19 11:08:51 IST 2025","skipped","Fri Dec 19 11:08:51 IST 2025","","","",""
"","511052","Generation and Regeneration of Quick Action Templates (ICD & CPT, Care Plan, Feedback, Referral)","English","Fri Dec 19 11:54:40 IST 2025","passed","Fri Dec 19 12:03:11 IST 2025","New Encounter E2E Flow","","",""
"","154438","Third Conversation (Draft Creation and Completion of Draft Transcript)","English","Fri Dec 19 11:50:19 IST 2025","passed","Fri Dec 19 11:52:54 IST 2025","New Encounter E2E Flow","","",""
"","97186","First Conversation and SOAP Note Generation in First Encounter","English","Fri Dec 19 11:17:53 IST 2025","passed","Fri Dec 19 11:19:30 IST 2025","First Encounter E2E flow","","",""
"the thrusg=h hold we got less then 85% check over it","14289","Transcript Verification for the Draft Conversation -Es","Spanish","Fri Dec 19 13:07:08 IST 2025","passed","Fri Dec 19 13:07:22 IST 2025","New Encounter E2E flow -Es","","",""
"","245185","Generation and Regeneration of Quick Action Templates {ICD & CPT, Care Plan, Feedback, Referral}for the First Encounter -Es","Spanish","Fri Dec 19 12:37:11 IST 2025","broken","Fri Dec 19 12:41:16 IST 2025","First Encounter E2E Flow -Es","","",""
"","18502","Patient info update","English","Fri Dec 19 11:33:18 IST 2025","broken","Fri Dec 19 11:33:36 IST 2025","First Encounter E2E flow","","",""
"","10253","Logout ","English","Fri Dec 19 12:06:03 IST 2025","passed","Fri Dec 19 12:06:14 IST 2025","New Encounter E2E Flow","","",""
"","53171","App Killed in Offline and Reopened in Online Mode Verification -Es","Spanish","Fri Dec 19 12:52:12 IST 2025","passed","Fri Dec 19 12:53:05 IST 2025","New Encounter E2E flow -Es","","",""
"","212945","Automatic Sync Verification (Offline to Online and Vice Versa) -Es","Spanish","Fri Dec 19 12:48:33 IST 2025","passed","Fri Dec 19 12:52:06 IST 2025","New Encounter E2E flow -Es","","",""
"","8652","App Killed and Reopened (Offline Mode Verification) for the First Encounter -Es","Spanish","Fri Dec 19 12:23:07 IST 2025","passed","Fri Dec 19 12:23:15 IST 2025","First Encounter E2E Flow -Es","","",""
"the thrusg=h hold we got less then 85% check over it","14454","Transcript verification for the first Encounter","English","Fri Dec 19 11:19:30 IST 2025","passed","Fri Dec 19 11:19:44 IST 2025","First Encounter E2E flow","","",""
"","15388","New Encounter Creation -Es","Spanish","Fri Dec 19 12:48:17 IST 2025","passed","Fri Dec 19 12:48:33 IST 2025","New Encounter E2E flow -Es","","",""
"","348799","Second Conversation for the New Encounter","English","Fri Dec 19 11:43:03 IST 2025","passed","Fri Dec 19 11:48:52 IST 2025","New Encounter E2E Flow","","",""
"","53554","App Killed in Offline and Reopened in Online Mode Verification for the First Encounter -Es","Spanish","Fri Dec 19 12:23:15 IST 2025","passed","Fri Dec 19 12:24:09 IST 2025","First Encounter E2E Flow -Es","","",""
"","148353","First Conversation and SOAP Note Generation","English","Fri Dec 19 11:40:25 IST 2025","passed","Fri Dec 19 11:42:53 IST 2025","New Encounter E2E Flow","","",""
"","90208","Third Conversation (Draft Creation and Completion of Draft Transcript) for the First Encounter}","English","Fri Dec 19 11:23:53 IST 2025","passed","Fri Dec 19 11:25:23 IST 2025","First Encounter E2E flow","","",""
"","75742","Offline Mode Stop and App Kill Verification -Es","Spanish","Fri Dec 19 12:53:05 IST 2025","broken","Fri Dec 19 12:54:21 IST 2025","New Encounter E2E flow -Es","","",""
"","65745","App Killed and Reopened (Offline Mode Verification) for the First Encounter","English","Fri Dec 19 11:14:26 IST 2025","passed","Fri Dec 19 11:15:31 IST 2025","First Encounter E2E flow","","",""
"","36209","Verify  general settings ","English","Fri Dec 19 11:09:12 IST 2025","passed","Fri Dec 19 11:09:48 IST 2025","Settings screen","","",""
"","77829","SOAP Note Verification for the Second Conversation","English","Fri Dec 19 11:48:52 IST 2025","passed","Fri Dec 19 11:50:10 IST 2025","New Encounter E2E Flow","","",""
"","136832","First Conversation and SOAP Note Generation -Es","Spanish","Fri Dec 19 12:54:21 IST 2025","passed","Fri Dec 19 12:56:38 IST 2025","New Encounter E2E flow -Es","","",""
"","6687","App Killed and Reopened (Offline Mode Verification) -Es","Spanish","Fri Dec 19 12:52:06 IST 2025","passed","Fri Dec 19 12:52:12 IST 2025","New Encounter E2E flow -Es","","",""
"","7689","Verify Settings screen support_Verification ","English","Fri Dec 19 11:08:51 IST 2025","passed","Fri Dec 19 11:08:59 IST 2025","Settings screen","","",""
"","15071","Error message verification: ""wrong password""","English","Fri Dec 19 11:08:18 IST 2025","passed","Fri Dec 19 11:08:33 IST 2025","Login","","",""
"","100172","SOAP Note Verification for the Second Conversation -Es","Spanish","Fri Dec 19 12:58:36 IST 2025","passed","Fri Dec 19 13:00:16 IST 2025","New Encounter E2E flow -Es","","",""
"","8595","Error message verification: ""invalid Email""","English","Fri Dec 19 11:08:01 IST 2025","passed","Fri Dec 19 11:08:10 IST 2025","Login","","",""
"","18227","Login with correct credential and verify Home screen animation -Es","Spanish","Fri Dec 19 12:15:31 IST 2025","passed","Fri Dec 19 12:15:50 IST 2025","Login","","",""
"","219695","Automatic Sync Verification (Offline to Online and Vice Versa) for the First Encounter -Es","Spanish","Fri Dec 19 12:19:27 IST 2025","passed","Fri Dec 19 12:23:07 IST 2025","First Encounter E2E Flow -Es","","",""
"","12054","Verify Error message when unrigistered mail is Entered -Es","Spanish","Fri Dec 19 12:06:21 IST 2025","passed","Fri Dec 19 12:06:33 IST 2025","Forgot Password","","",""
"the thrusg=h hold we got less then 85% check over it","9576","Transcript verification for the Third Conversation in first Encounter","English","Fri Dec 19 11:26:55 IST 2025","passed","Fri Dec 19 11:27:04 IST 2025","First Encounter E2E flow","","",""
"","397017","Generation and Regeneration of Quick Action Templates (ICD & CPT, Care Plan, Feedback, Referral) -Es","Spanish","Fri Dec 19 13:07:22 IST 2025","passed","Fri Dec 19 13:13:59 IST 2025","New Encounter E2E flow -Es","","",""
"","110123","Second Conversation for the New Encounter -Es","Spanish","Fri Dec 19 12:56:46 IST 2025","passed","Fri Dec 19 12:58:36 IST 2025","New Encounter E2E flow -Es","","",""
"","91757","SOAP Note Generation and Verification for the Draft Conversation in the First Encounter","English","Fri Dec 19 11:25:23 IST 2025","passed","Fri Dec 19 11:26:55 IST 2025","First Encounter E2E flow","","",""
"","102552","SOAP Note Generation and Verification for the Draft Conversation for the First Encounter -Es","Spanish","Fri Dec 19 12:35:15 IST 2025","passed","Fri Dec 19 12:36:58 IST 2025","First Encounter E2E Flow -Es","","",""
"","15434","Error message verification: ""Wrong password"" -Es","Spanish","Fri Dec 19 12:15:16 IST 2025","passed","Fri Dec 19 12:15:31 IST 2025","Login","","",""
"the thrusg=h hold we got less then 85% check over it","5451","Transcript Verification for the Second Conversation for the First Encounter -Es","Spanish","Fri Dec 19 12:30:07 IST 2025","passed","Fri Dec 19 12:30:12 IST 2025","First Encounter E2E Flow -Es","","",""
"","65548","App Killed and Reopened (Offline Mode Verification)","English","Fri Dec 19 11:36:46 IST 2025","passed","Fri Dec 19 11:37:52 IST 2025","New Encounter E2E Flow","","",""
"the thrusg=h hold we got less then 85% check over it","5742","Trascript verification for the Second Conversation -Es","Spanish","Fri Dec 19 13:00:16 IST 2025","passed","Fri Dec 19 13:00:22 IST 2025","New Encounter E2E flow -Es","","",""
"","5924","Verify all Forgot Password screen Elements","English","Fri Dec 19 11:06:29 IST 2025","passed","Fri Dec 19 11:06:35 IST 2025","Forgot Password","","",""
"","12769","Verify Rest Password mail generation","English","Fri Dec 19 11:07:07 IST 2025","passed","Fri Dec 19 11:07:19 IST 2025","Forgot Password","","",""
"","117213","Second Conversation for the first Encounter","English","Fri Dec 19 11:19:44 IST 2025","passed","Fri Dec 19 11:21:42 IST 2025","First Encounter E2E flow","","",""
"","129285","Patient Creation","English","Fri Dec 19 11:09:50 IST 2025","passed","Fri Dec 19 11:12:00 IST 2025","First Encounter E2E flow","","",""
"the thrusg=h hold we got less then 85% check over it","6863","First Conversation and SOAP Note Generation for the First Encounter -Es","Spanish","Fri Dec 19 12:26:11 IST 2025","passed","Fri Dec 19 12:26:18 IST 2025","First Encounter E2E Flow -Es","","",""
"","14940","Finalize Encounter -Es","Spanish","Fri Dec 19 13:18:57 IST 2025","passed","Fri Dec 19 13:19:12 IST 2025","New Encounter E2E flow -Es","","",""
"","159107","Automatic Sync Verification (Offline to Online and Vice Versa)","English","Fri Dec 19 11:34:07 IST 2025","passed","Fri Dec 19 11:36:46 IST 2025","New Encounter E2E Flow","","",""
"","27452","Finalize encounter","English","Fri Dec 19 12:05:36 IST 2025","passed","Fri Dec 19 12:06:03 IST 2025","New Encounter E2E Flow","","",""
"the thrusg=h hold we got less then 85% check over it","13680","Transcript Verification for the Draft Conversation for the First Encounter -Es","Spanish","Fri Dec 19 12:36:58 IST 2025","passed","Fri Dec 19 12:37:11 IST 2025","First Encounter E2E Flow -Es","","",""
"the thrusg=h hold we got less then 85% check over it","7687","Trascript verification -Es","Spanish","Fri Dec 19 12:56:38 IST 2025","passed","Fri Dec 19 12:56:46 IST 2025","New Encounter E2E flow -Es","","",""
"the thrusg=h hold we got less then 85% check over it","10262","Transcript Verification for the First Conversation","English","Fri Dec 19 11:42:53 IST 2025","passed","Fri Dec 19 11:43:03 IST 2025","New Encounter E2E Flow","","",""
"","99509","SOAP Note Generation and Verification for the Draft Conversationm-Es","Spanish","Fri Dec 19 13:05:28 IST 2025","passed","Fri Dec 19 13:07:08 IST 2025","New Encounter E2E flow -Es","","",""
"","8117","Error message verification: ""unrigisted mail"" -Es","Spanish","Fri Dec 19 12:15:08 IST 2025","passed","Fri Dec 19 12:15:16 IST 2025","Login","","",""
"the thrusg=h hold we got less then 85% check over it","8543","Transcript verification for the Second Conversation in first Encounter","English","Fri Dec 19 11:23:44 IST 2025","passed","Fri Dec 19 11:23:53 IST 2025","First Encounter E2E flow","","",""
"","12592","Error message verification: ""Password not Provided""","English","Fri Dec 19 11:07:26 IST 2025","passed","Fri Dec 19 11:07:39 IST 2025","Login","","",""
"","195301","Patient Creation -Es","Spanish","Fri Dec 19 12:16:12 IST 2025","passed","Fri Dec 19 12:19:27 IST 2025","First Encounter E2E Flow -Es","","",""
"","285280","Hay Noki verification -Es","Spanish","Fri Dec 19 13:14:12 IST 2025","broken","Fri Dec 19 13:18:57 IST 2025","New Encounter E2E flow -Es","","",""
"","115233","SOAP Note Verification for the Second Conversation for the First Encounter -Es","Spanish","Fri Dec 19 12:28:12 IST 2025","passed","Fri Dec 19 12:30:07 IST 2025","First Encounter E2E Flow -Es","","",""
"","67410","App Killed in Offline and Reopened in Online Mode Verification for the First Encounter","English","Fri Dec 19 11:15:31 IST 2025","passed","Fri Dec 19 11:16:39 IST 2025","First Encounter E2E flow","","",""
"","8468","Error message verification: ""Email not provided"" -Es","Spanish","Fri Dec 19 12:14:51 IST 2025","passed","Fri Dec 19 12:14:59 IST 2025","Login","","",""
"","145960","Automatic Sync Verification (Offline to Online and Vice Versa) for the First Encounter","English","Fri Dec 19 11:12:00 IST 2025","passed","Fri Dec 19 11:14:26 IST 2025","First Encounter E2E flow","","",""
"","302770","Third Conversation {Draft Creation and Completion of Draft Transcript} for the First Encounter -Es","Spanish","Fri Dec 19 12:30:12 IST 2025","passed","Fri Dec 19 12:35:15 IST 2025","First Encounter E2E Flow -Es","","",""
"","122280","Offline Mode Stop and App Kill Verification for the First Encounter -Es","Spanish","Fri Dec 19 12:24:09 IST 2025","passed","Fri Dec 19 12:26:11 IST 2025","First Encounter E2E Flow -Es","","",""
"","13294","Patient Info Update -Es","Spanish","Fri Dec 19 13:13:59 IST 2025","broken","Fri Dec 19 13:14:12 IST 2025","New Encounter E2E flow -Es","","",""
